Which new technology do you hear about the most these days?  ,How comfortable are you with using new tech tools? ,Which area do you think needs more research today? ,Do you think AI will create more jobs or reduce jobs? ,Which topic interests you the most?,How often do you explore something new related to technology? ,Which type of innovation do you use the most? ,Should colleges include more research-based projects? ,Which technology do you think will change daily life the fastest? ,How important is digital safety for students today? ,Which future tech would you love to try? ,Do you think renewable energy is the future?,Which skill do you want to learn for future careers? ,Where do you usually learn about new inventions? ,Do you think India is growing in science and tech?
AI,Somewhat comfortable,Health,Both,Cybersecurity,Often,Mobile apps,Yes,Automation,Very important,Robots,Yes,Coding,YouTube,Yes
Robotics,Very comfortable,Security,Reduce,Cybersecurity,Sometimes,Mobile apps,Yes,AI tools,Very important,Self-driving cars,Yes,Data handling,YouTube,Yes
Blockchain,Somewhat comfortable,Security,Both,Cybersecurity,Often,Online payments,Yes,VR/AR,Very important,Smart glasses,Yes,Coding,YouTube,Needs improvement
AI,Very comfortable,Security,Create,Cybersecurity,Sometimes,Mobile apps,Yes,AI tools,Very important,Robots,Yes,Data handling,Social media,Needs improvement
AI,Somewhat comfortable,Education,Not sure,Cybersecurity,Sometimes,Mobile apps,Yes,AI tools,Very important,Smart glasses,Maybe,Coding,Social media,Somewhat
AI,Never tried,Education,Create,Data Science,Often,Mobile apps,No,Automation,Very important,Self-driving cars,Yes,Coding,YouTube,Needs improvement
AI,Very comfortable,Education,Create,Data Science,Sometimes,Mobile apps,Maybe,Automation,Important,Self-driving cars,Maybe,Data handling,News,Needs improvement
AI,Very comfortable,Environment,Both,Data Science,Sometimes,Mobile apps,Maybe,AI tools,Very important,Self-driving cars,Yes,Research work,Social media,Somewhat
AI,Somewhat comfortable,Health,Reduce,Data Science,Sometimes,Mobile apps,Yes,VR/AR,Very important,VR headsets,Yes,Communication,YouTube,Somewhat
AI,Very comfortable,Environment,Both,Cybersecurity,Sometimes,Mobile apps,Maybe,Automation,Very important,Smart glasses,Maybe,Communication,YouTube,Yes
AI,Very comfortable,Education,Create,Cybersecurity,Often,Smart devices,Yes,Automation,Very important,Smart glasses,Yes,Communication,Social media,Yes
Others,Somewhat comfortable,Health,Create,Data Science,Often,Mobile apps,Yes,AI tools,Very important,Robots,Maybe,Coding,YouTube,Somewhat
AI,Somewhat comfortable,Education,Both,Cybersecurity,Sometimes,Smart devices,Maybe,Drones,Very important,Smart glasses,Maybe,Coding,Social media,Yes
AI,Somewhat comfortable,Health,Both,Cybersecurity,Sometimes,Mobile apps,Yes,Automation,Very important,VR headsets,Maybe,Research work,Social media,Yes
AI,Somewhat comfortable,Environment,Reduce,Data Science,Never,Mobile apps,No,AI tools,Important,Self-driving cars,Maybe,Data handling,YouTube,No idea
AI,Very comfortable,Security,Both,Cybersecurity,Often,Online payments,Yes,AI tools,Very important,Self-driving cars,Yes,Coding,Social media,Yes
AI,Very comfortable,Environment,Both,Cybersecurity,Sometimes,Smart devices,Maybe,Automation,Very important,VR headsets,Maybe,Coding,YouTube,Yes
AI,Somewhat comfortable,Environment,Reduce,Biotechnology,Sometimes,Online payments,Yes,AI tools,Very important,VR headsets,Yes,Coding,Social media,Yes
AI,Somewhat comfortable,Security,Both,Cybersecurity,Sometimes,Mobile apps,Yes,AI tools,Very important,Self-driving cars,Yes,Coding,Social media,Yes
AI,Never tried,Health,Reduce,Cybersecurity,Sometimes,Mobile apps,Maybe,AI tools,Very important,Smart glasses,Yes,Communication,Social media,Needs improvement
AI,Somewhat comfortable,Environment,Reduce,Data Science,Sometimes,Online payments,Maybe,Automation,Slightly important,VR headsets,No,Communication,News,Somewhat
AI,Somewhat comfortable,Health,Both,Data Science,Often,Mobile apps,Yes,Automation,Important,Smart glasses,Yes,Communication,YouTube,Yes
AI,Very comfortable,Environment,Both,Renewable Energy,Often,Wearables,Yes,Automation,Very important,Self-driving cars,Yes,Research work,News,Yes
AI,Very comfortable,Environment,Create,Data Science,Often,Mobile apps,Yes,AI tools,Very important,Robots,Maybe,Communication,Social media,Needs improvement
AI,Very comfortable,Health,Both,Cybersecurity,Often,Smart devices,Yes,AI tools,Important,Smart glasses,Yes,Coding,YouTube,Needs improvement
Others,Very comfortable,Health,Both,Biotechnology,Sometimes,Online payments,Maybe,AI tools,Important,Smart glasses,Yes,Communication,YouTube,Needs improvement
AI,Very comfortable,Environment,Reduce,Data Science,Sometimes,Mobile apps,Yes,VR/AR,Very important,VR headsets,Yes,Coding,Social media,Yes
AI,Somewhat comfortable,Environment,Both,Biotechnology,Sometimes,Smart devices,Yes,Automation,Very important,VR headsets,Maybe,Data handling,YouTube,Yes
Robotics,Somewhat comfortable,Environment,Reduce,Cybersecurity,Sometimes,Online payments,Maybe,Automation,Very important,Robots,Yes,Communication,Social media,Yes
AI,Somewhat comfortable,Environment,Create,Cybersecurity,Often,Smart devices,Not sure,Automation,Important,Robots,Yes,Communication,Social media,Needs improvement
AI,Somewhat comfortable,Environment,Both,Cybersecurity,Rarely,Mobile apps,Yes,AI tools,Very important,Self-driving cars,Maybe,Coding,YouTube,Somewhat
AI,Very comfortable,Health,Not sure,Renewable Energy,Sometimes,Wearables,Yes,AI tools,Very important,Self-driving cars,Yes,Research work,YouTube,Yes
AI,Very comfortable,Security,Both,Data Science,Sometimes,Mobile apps,Yes,AI tools,Very important,Self-driving cars,Yes,Research work,YouTube,Yes
Others,Never tried,Education,Both,Renewable Energy,Rarely,Smart devices,No,Automation,Very important,Self-driving cars,Yes,Data handling,Social media,Yes
AI,Very comfortable,Security,Both,Data Science,Sometimes,Smart devices,Yes,AI tools,Very important,Robots,Yes,Coding,YouTube,Yes
AI,Very comfortable,Security,Both,Cybersecurity,Sometimes,Mobile apps,Maybe,AI tools,Very important,Smart glasses,Yes,Research work,YouTube,Needs improvement
